MMSI,Company,Origin,Destination,StDate,Distance,ETA,ATA,TradeRoute,
829877017,Maersk,Savannah,Guangzhou,2017-07-27 20:58:09,13843.77501,2017-09-09 21:58:09,2017-09-10 20:58:09,Cape of Good Hope,
417364486,Maersk,Guangzhou,Savannah,2018-01-10 05:07:09,13843.77501,2018-02-23 06:07:09,2018-02-24 05:07:09,Cape of Good Hope,
835737501,HPL,Guangzhou,Savannah,2015-02-01 12:49:03,13843.77501,2015-03-17 15:49:03,2015-03-18 13:49:03,Cape of Good Hope,
941181313,HPL,Guangzhou,Savannah,2018-02-16 14:35:55,13843.77501,2018-04-01 20:35:55,2018-04-02 15:35:55,Cape of Good Hope,
100710587,HPL,Savannah,Shenzhen,2019-06-25 11:28:07,13813.908,2019-08-09 03:28:07,2019-08-09 12:28:07,Cape of Good Hope,
866182879,XPO Logistics,New York,Ningbo,2016-04-19 15:03:02,14426.54367,2016-06-04 07:03:02,2016-06-03 17:03:02,Cape of Good Hope,
561348463,XPO Logistics,Savannah,Shenzhen,2018-08-09 07:47:21,13813.908,2018-09-23 01:47:21,2018-09-23 10:47:21,Cape of Good Hope,
417364486,Maersk,New York,Shenzhen,2016-03-11 05:07:09,13771.24929,2016-04-23 21:07:09,2016-04-25 09:07:09,Cape of Good Hope,
994893772,XPO Logistics,Guangzhou,Savannah,2018-10-11 16:52:36,13843.77501,2018-11-24 20:52:36,2018-11-25 20:52:36,Cape of Good Hope,
835737501,HPL,New York,Shenzhen,2018-06-17 12:49:03,13771.24929,2018-07-30 14:49:03,2018-08-01 16:49:03,Cape of Good Hope,
692331649,XPO Logistics,Savannah,Guangzhou,2018-08-05 06:53:03,13843.77501,2018-09-19 04:53:03,2018-09-19 10:53:03,Cape of Good Hope,
732298593,Maersk,New York,Shenzhen,2018-10-05 15:25:37,13771.24929,2018-11-18 03:25:37,2018-11-19 20:25:37,Cape of Good Hope,
177243058,XPO Logistics,New York,Shenzhen,2018-09-16 20:08:19,13771.24929,2018-10-30 14:08:19,2018-11-01 01:08:19,Cape of Good Hope,
927749179,HPL,Guangzhou,New York,2017-01-09 13:51:15,13801.1163,2017-02-21 21:51:15,2017-02-23 18:51:15,Cape of Good Hope,
850142123,XPO Logistics,Savannah,Guangzhou,2019-03-31 01:44:05,13843.77501,2019-05-14 11:44:05,2019-05-15 06:44:05,Cape of Good Hope,
677367745,HPL,Ningbo,New York,2015-08-13 14:36:07,14426.54367,2015-09-28 01:36:07,2015-09-27 19:36:07,Cape of Good Hope,
692331649,XPO Logistics,Savannah,Guangzhou,2018-01-13 06:53:03,13843.77501,2018-02-26 06:53:03,2018-02-27 11:53:03,Cape of Good Hope,
919717628,XPO Logistics,Ningbo,New York,2016-10-26 14:41:09,14426.54367,2016-12-11 09:41:09,2016-12-10 20:41:09,Cape of Good Hope,
988118092,XPO Logistics,New York,Shenzhen,2017-04-13 20:35:14,13771.24929,2017-05-27 12:35:14,2017-05-29 02:35:14,Cape of Good Hope,
866182879,XPO Logistics,Ningbo,New York,2015-08-08 15:03:02,14426.54367,2015-09-23 06:03:02,2015-09-22 21:03:02,Cape of Good Hope,
100710587,HPL,Shenzhen,Savannah,2019-05-08 11:28:07,13813.908,2019-06-22 09:28:07,2019-06-22 17:28:07,Cape of Good Hope,
368187454,HPL,Ningbo,New York,2017-05-01 05:30:18,14426.54367,2017-06-15 23:30:18,2017-06-15 12:30:18,Cape of Good Hope,
921059981,HPL,New York,Shenzhen,2018-11-25 10:47:29,13771.24929,2019-01-08 03:47:29,2019-01-09 17:47:29,Cape of Good Hope,
148885050,Maersk,Guangzhou,New York,2016-10-31 16:27:50,13801.1163,2016-12-13 22:27:50,2016-12-16 00:27:50,Cape of Good Hope,
148885050,Maersk,New York,Guangzhou,2017-10-14 16:27:50,13801.1163,2017-11-27 11:27:50,2017-11-29 00:27:50,Cape of Good Hope,
835737501,HPL,New York,Shenzhen,2019-04-09 12:49:03,13771.24929,2019-05-23 01:49:03,2019-05-24 20:49:03,Cape of Good Hope,
850142123,XPO Logistics,Savannah,Guangzhou,2018-09-13 01:44:05,13843.77501,2018-10-27 14:44:05,2018-10-28 09:44:05,Cape of Good Hope,
838213806,XPO Logistics,Shenzhen,New York,2019-02-21 16:36:46,13771.24929,2019-04-06 04:36:46,2019-04-08 00:36:46,Cape of Good Hope,
242135016,Maersk,New York,Guangzhou,2016-04-06 01:34:55,13801.1163,2016-05-19 12:34:55,2016-05-21 10:34:55,Cape of Good Hope,
148885050,Maersk,New York,Guangzhou,2017-07-07 16:27:50,13801.1163,2017-08-20 08:27:50,2017-08-22 01:27:50,Cape of Good Hope,
610784131,Maersk,Shenzhen,New York,2017-07-29 10:47:23,13771.24929,2017-09-11 02:47:23,2017-09-12 19:47:23,Cape of Good Hope,
561348463,XPO Logistics,New York,Shenzhen,2015-09-30 07:47:21,13771.24929,2015-11-12 21:47:21,2015-11-14 16:47:21,Cape of Good Hope,
692331649,XPO Logistics,Guangzhou,New York,2017-04-28 06:53:03,13801.1163,2017-06-10 16:53:03,2017-06-12 15:53:03,Cape of Good Hope,
883318539,XPO Logistics,New York,Guangzhou,2018-10-11 20:28:49,13801.1163,2018-11-24 05:28:49,2018-11-26 05:28:49,Cape of Good Hope,
994893772,XPO Logistics,Savannah,Guangzhou,2019-10-10 16:52:36,13843.77501,2019-11-24 07:52:36,2019-11-25 02:52:36,Cape of Good Hope,
927749179,HPL,Guangzhou,New York,2017-04-17 13:51:15,13801.1163,2017-05-31 07:51:15,2017-06-01 23:51:15,Cape of Good Hope,
829877017,Maersk,Guangzhou,Savannah,2017-06-09 20:58:09,13843.77501,2017-07-24 14:58:09,2017-07-25 06:58:09,Cape of Good Hope,
592558666,Maersk,New York,Shenzhen,2016-08-09 05:53:51,13771.24929,2016-09-21 10:53:51,2016-09-23 15:53:51,Cape of Good Hope,
402494582,Maersk,New York,Shenzhen,2015-03-17 21:48:41,13771.24929,2015-04-30 07:48:41,2015-05-02 07:48:41,Cape of Good Hope,
326210305,Maersk,Ningbo,New York,2015-01-04 22:43:51,14426.54367,2015-02-19 05:43:51,2015-02-19 09:43:51,Cape of Good Hope,
472129537,XPO Logistics,Shenzhen,New York,2017-11-24 09:22:45,13771.24929,2018-01-06 20:22:45,2018-01-08 20:22:45,Cape of Good Hope,
843164588,Maersk,Shenzhen,New York,2019-01-28 05:28:35,13771.24929,2019-03-12 11:28:35,2019-03-14 17:28:35,Cape of Good Hope,
417364486,Maersk,Savannah,Guangzhou,2018-09-28 05:07:09,13843.77501,2018-11-12 03:07:09,2018-11-12 17:07:09,Cape of Good Hope,
266470177,HPL,New York,Shenzhen,2019-03-08 01:35:49,13771.24929,2019-04-20 02:35:49,2019-04-22 13:35:49,Cape of Good Hope,
368187454,HPL,New York,Ningbo,2017-10-06 05:30:18,14426.54367,2017-11-20 10:30:18,2017-11-20 18:30:18,Cape of Good Hope,
843164588,Maersk,Guangzhou,Savannah,2016-03-04 05:28:35,13843.77501,2016-04-17 09:28:35,2016-04-18 18:28:35,Cape of Good Hope,
561348463,XPO Logistics,New York,Shenzhen,2016-01-09 07:47:21,13771.24929,2016-02-22 00:47:21,2016-02-23 20:47:21,Cape of Good Hope,
994893772,XPO Logistics,Savannah,Guangzhou,2018-08-24 16:52:36,13843.77501,2018-10-08 06:52:36,2018-10-09 06:52:36,Cape of Good Hope,
692331649,XPO Logistics,Guangzhou,New York,2016-07-03 06:53:03,13801.1163,2016-08-16 02:53:03,2016-08-17 20:53:03,Cape of Good Hope,
100710587,HPL,Shenzhen,Savannah,2018-07-04 11:28:07,13813.908,2018-08-17 19:28:07,2018-08-19 01:28:07,Cape of Good Hope,
934224691,Maersk,Shenzhen,Savannah,2019-09-05 11:01:03,13813.908,2019-10-20 00:01:03,2019-10-21 02:01:03,Cape of Good Hope,
692331649,XPO Logistics,Shenzhen,New York,2015-02-12 06:53:03,13771.24929,2015-03-27 17:53:03,2015-03-29 21:53:03,Cape of Good Hope,
850142123,XPO Logistics,Guangzhou,New York,2016-08-22 01:44:05,13801.1163,2016-10-04 09:44:05,2016-10-06 16:44:05,Cape of Good Hope,
941181313,HPL,Guangzhou,New York,2016-10-17 14:35:55,13801.1163,2016-11-30 04:35:55,2016-12-02 05:35:55,Cape of Good Hope,
326210305,Maersk,New York,Ningbo,2015-06-11 22:43:51,14426.54367,2015-07-27 05:43:51,2015-07-27 14:43:51,Cape of Good Hope,
829877017,Maersk,Savannah,Guangzhou,2018-02-20 20:58:09,13843.77501,2018-04-06 13:58:09,2018-04-07 12:58:09,Cape of Good Hope,
872116778,Maersk,New York,Ningbo,2019-02-10 04:47:09,14426.54367,2019-03-27 23:47:09,2019-03-27 20:47:09,Cape of Good Hope,
561348463,XPO Logistics,New York,Shenzhen,2016-04-16 07:47:21,13771.24929,2016-05-29 15:47:21,2016-05-31 23:47:21,Cape of Good Hope,
305292267,XPO Logistics,New York,Ningbo,2016-06-11 00:35:55,14426.54367,2016-07-26 19:35:55,2016-07-26 17:35:55,Cape of Good Hope,
472129537,XPO Logistics,New York,Shenzhen,2018-04-27 09:22:45,13771.24929,2018-06-09 13:22:45,2018-06-12 02:22:45,Cape of Good Hope,
850142123,XPO Logistics,Guangzhou,New York,2017-03-11 01:44:05,13801.1163,2017-04-23 03:44:05,2017-04-25 18:44:05,Cape of Good Hope,
843164588,Maersk,Shenzhen,New York,2018-07-06 05:28:35,13771.24929,2018-08-18 10:28:35,2018-08-20 23:28:35,Cape of Good Hope,
610784131,Maersk,New York,Shenzhen,2018-07-15 10:47:23,13771.24929,2018-08-28 08:47:23,2018-08-30 04:47:23,Cape of Good Hope,
744846006,HPL,Guangzhou,New York,2018-08-27 13:46:45,13801.1163,2018-10-10 07:46:45,2018-10-12 07:46:45,Cape of Good Hope,
417364486,Maersk,Guangzhou,Savannah,2018-11-16 05:07:09,13843.77501,2018-12-30 17:07:09,2019-01-01 00:07:09,Cape of Good Hope,
242135016,Maersk,New York,Guangzhou,2015-12-29 01:34:55,13801.1163,2016-02-10 17:34:55,2016-02-12 20:34:55,Cape of Good Hope,
472129537,XPO Logistics,Shenzhen,New York,2016-10-11 09:22:45,13771.24929,2016-11-24 07:22:45,2016-11-26 04:22:45,Cape of Good Hope,
266470177,HPL,Shenzhen,New York,2019-04-25 01:35:49,13771.24929,2019-06-07 08:35:49,2019-06-09 20:35:49,Cape of Good Hope,
986094286,HPL,Guangzhou,Savannah,2018-07-21 11:06:57,13843.77501,2018-09-04 02:06:57,2018-09-05 07:06:57,Cape of Good Hope,
941181313,HPL,Savannah,Guangzhou,2017-12-30 14:35:55,13843.77501,2018-02-12 15:35:55,2018-02-14 10:35:55,Cape of Good Hope,
417364486,Maersk,Guangzhou,New York,2016-08-09 05:07:09,13801.1163,2016-09-21 16:07:09,2016-09-24 02:07:09,Cape of Good Hope,
610784131,Maersk,New York,Shenzhen,2016-11-24 10:47:23,13771.24929,2017-01-06 21:47:23,2017-01-09 07:47:23,Cape of Good Hope,
417364486,Maersk,New York,Shenzhen,2015-12-08 05:07:09,13771.24929,2016-01-21 00:07:09,2016-01-23 03:07:09,Cape of Good Hope,
766024027,HPL,New York,Guangzhou,2016-02-20 22:40:33,13801.1163,2016-04-04 02:40:33,2016-04-06 20:40:33,Cape of Good Hope,
941181313,HPL,Savannah,Guangzhou,2018-04-05 14:35:55,13843.77501,2018-05-19 17:35:55,2018-05-21 12:35:55,Cape of Good Hope,
921059981,HPL,Shenzhen,New York,2016-07-11 10:47:29,13771.24929,2016-08-23 11:47:29,2016-08-26 08:47:29,Cape of Good Hope,
610784131,Maersk,Shenzhen,New York,2017-01-11 10:47:23,13771.24929,2017-02-23 13:47:23,2017-02-26 10:47:23,Cape of Good Hope,
934224691,Maersk,Savannah,Shenzhen,2019-10-23 11:01:03,13813.908,2019-12-06 13:01:03,2019-12-08 11:01:03,Cape of Good Hope,
402138122,XPO Logistics,New York,Shanghai,2019-10-05 19:14:56,14493.10262,2019-11-21 11:14:56,2019-11-20 19:14:56,Cape of Good Hope,
266470177,HPL,Shenzhen,New York,2019-01-18 01:35:49,13771.24929,2019-03-02 11:35:49,2019-03-05 01:35:49,Cape of Good Hope,
726767544,HPL,New York,Shanghai,2017-09-24 05:24:48,14493.10262,2017-11-10 03:24:48,2017-11-09 05:24:48,Cape of Good Hope,
402138122,XPO Logistics,Shanghai,New York,2019-08-16 19:14:56,14493.10262,2019-10-01 19:14:56,2019-10-01 20:14:56,Cape of Good Hope,
592558666,Maersk,Ningbo,Savannah,2018-03-18 05:53:51,14469.20238,2018-05-03 07:53:51,2018-05-03 06:53:51,Cape of Good Hope,
592558666,Maersk,Ningbo,Savannah,2018-06-26 05:53:51,14469.20238,2018-08-11 18:53:51,2018-08-11 06:53:51,Cape of Good Hope,
161181295,HPL,Savannah,Shenzhen,2018-05-24 02:17:44,13813.908,2018-07-07 15:17:44,2018-07-09 03:17:44,Cape of Good Hope,
843164588,Maersk,Shenzhen,New York,2017-12-17 05:28:35,13771.24929,2018-01-30 00:28:35,2018-02-01 06:28:35,Cape of Good Hope,
921059981,HPL,Shenzhen,New York,2017-05-16 10:47:29,13771.24929,2017-06-28 22:47:29,2017-07-01 11:47:29,Cape of Good Hope,
