Origin,Destination,ETA(Days),RouteID,VoyageID,Distance,ATA(Days),start_date,end_date,Delay
Shanghai,Ningbo,5,1,11,161.5943334,9,15-09-2016 00:00,24-09-2016 00:00,6
Ningbo,Wenzhou,1,1,11,234.4704,6,30-09-2016 00:00,06-10-2016 00:00,6
Wenzhou,Busan,2,1,11,624.1703,5,12-10-2016 00:00,17-10-2016 00:00,6
Busan,Long Beach,20,1,11,5254.9634,24,23-10-2016 00:00,16-11-2016 00:00,6
Shanghai,Ningbo,5,2,11,161.5943334,9,23-04-2017 00:00,02-05-2017 00:00,6
Ningbo,Busan,8,2,11,506.2098107,13,08-05-2017 00:00,21-05-2017 00:00,6
Busan,Long Beach,20,2,11,5254.9634,23,27-05-2017 00:00,19-06-2017 00:00,6
Shanghai,Ningbo,5,1,12,161.5943334,6,12-09-2016 00:00,18-09-2016 00:00,6
Ningbo,Wenzhou,1,1,12,234.4704,5,24-09-2016 00:00,29-09-2016 00:00,6
Wenzhou,Busan,2,1,12,624.1703,6,05-10-2016 00:00,11-10-2016 00:00,6
Busan,Los Angeles,20,1,12,5254.901206,21,17-10-2016 00:00,07-11-2016 00:00,6
Shanghai,Ningbo,5,2,12,161.5943334,9,19-05-2015 00:00,28-05-2015 00:00,6
Ningbo,Busan,8,2,12,506.2098107,10,03-06-2015 00:00,13-06-2015 00:00,6
Busan,Los Angeles,20,2,12,5254.901206,22,19-06-2015 00:00,11-07-2015 00:00,6
Shanghai,Ningbo,5,1,13,161.5943334,9,08-02-2016 00:00,17-02-2016 00:00,6
Ningbo,Wenzhou,1,1,13,234.4704,5,23-02-2016 00:00,28-02-2016 00:00,6
Wenzhou,Busan,2,1,13,624.1703,6,05-03-2016 00:00,11-03-2016 00:00,6
Busan,Wilmington,36,1,13,10098.33221,40,17-03-2016 00:00,26-04-2016 00:00,6
Wilmington,Savannah,3,1,13,628.8036587,7,02-05-2016 00:00,09-05-2016 00:00,6
Shanghai,Ningbo,5,2,13,161.5943334,7,18-09-2016 00:00,25-09-2016 00:00,6
Ningbo,Busan,8,2,13,506.2098107,9,01-10-2016 00:00,10-10-2016 00:00,6
Busan,Wilmington,36,2,13,10098.33221,41,16-10-2016 00:00,26-11-2016 00:00,6
Wilmington,Savannah,3,2,13,628.8036587,8,02-12-2016 00:00,10-12-2016 00:00,6
Shanghai,Ningbo,5,1,14,161.5943334,6,07-11-2018 00:00,13-11-2018 00:00,6
Ningbo,Wenzhou,1,1,14,234.4704,5,19-11-2018 00:00,24-11-2018 00:00,6
Wenzhou,Busan,2,1,14,624.1703,6,30-11-2018 00:00,06-12-2018 00:00,6
Busan,Wilmington,36,1,14,10098.33221,40,12-12-2018 00:00,21-01-2019 00:00,6
Wilmington,Savannah,3,1,14,628.8036587,8,27-01-2019 00:00,04-02-2019 00:00,6
Savannah,New York,5,1,14,688.4059453,10,10-02-2019 00:00,20-02-2019 00:00,6
Shanghai,Ningbo,5,2,14,161.5943334,6,28-08-2016 00:00,03-09-2016 00:00,6
Ningbo,Busan,8,2,14,506.2098107,12,09-09-2016 00:00,21-09-2016 00:00,6
Busan,Wilmington,36,2,14,10098.33221,39,27-09-2016 00:00,05-11-2016 00:00,6
Wilmington,Savannah,3,2,14,628.8036587,5,11-11-2016 00:00,16-11-2016 00:00,6
Savannah,New York,5,2,14,688.4059453,8,22-11-2016 00:00,30-11-2016 00:00,6
Shanghai,Ningbo,5,1,15,161.5943334,8,30-07-2015 00:00,07-08-2015 00:00,6
Ningbo,Wenzhou,1,1,15,234.4704,5,13-08-2015 00:00,18-08-2015 00:00,6
Wenzhou,Busan,2,1,15,624.1703,5,24-08-2015 00:00,29-08-2015 00:00,6
Busan,Yokohama,2,1,15,644.2606097,5,04-09-2015 00:00,09-09-2015 00:00,6
Yokohama,Seattle,15,1,15,4247.728669,19,15-09-2015 00:00,04-10-2015 00:00,6
Shanghai,Ningbo,5,2,15,161.5943334,7,11-12-2018 00:00,18-12-2018 00:00,6
Ningbo,Busan,8,2,15,506.2098107,13,24-12-2018 00:00,06-01-2019 00:00,6
Busan,Yokohama,2,2,15,644.2606097,5,12-01-2019 00:00,17-01-2019 00:00,6
Yokohama,Seattle,15,2,15,4247.728669,20,23-01-2019 00:00,12-02-2019 00:00,6
Guangzhou,Shenzhen,1,1,16,46.8502718,6,28-09-2015 00:00,04-10-2015 00:00,0
Shenzhen,Ningbo,2,1,16,746.6292581,3,04-10-2015 00:00,07-10-2015 00:00,6
Ningbo,Shanghai,1,1,16,134.246,2,13-10-2015 00:00,15-10-2015 00:00,6
Shanghai,Busan,2,1,16,481.9350185,7,21-10-2015 00:00,28-10-2015 00:00,6
Busan,Long Beach,20,1,16,5254.9634,23,03-11-2015 00:00,26-11-2015 00:00,6
Guangzhou,Shenzhen,1,2,16,46.8502718,2,15-10-2019 00:00,17-10-2019 00:00,0
Shenzhen,Shanghai,3,2,16,872.8668682,6,17-10-2019 00:00,23-10-2019 00:00,6
Shanghai,Busan,2,2,16,481.9350185,7,29-10-2019 00:00,05-11-2019 00:00,6
Busan,Long Beach,20,2,16,5254.9634,22,11-11-2019 00:00,03-12-2019 00:00,6
Guangzhou,Shenzhen,1,1,17,46.8502718,2,17-10-2016 00:00,19-10-2016 00:00,0
Shenzhen,Ningbo,2,1,17,746.6292581,5,19-10-2016 00:00,24-10-2016 00:00,6
Ningbo,Shanghai,1,1,17,134.246,5,30-10-2016 00:00,04-11-2016 00:00,6
Shanghai,Busan,2,1,17,481.9350185,5,10-11-2016 00:00,15-11-2016 00:00,6
Busan,Los Angeles,20,1,17,5254.901206,23,21-11-2016 00:00,14-12-2016 00:00,6
Guangzhou,Shenzhen,1,2,17,46.8502718,2,25-03-2016 00:00,27-03-2016 00:00,0
Shenzhen,Shanghai,3,2,17,872.8668682,8,27-03-2016 00:00,04-04-2016 00:00,6
Shanghai,Busan,2,2,17,481.9350185,3,10-04-2016 00:00,13-04-2016 00:00,6
Busan,Los Angeles,20,2,17,5254.901206,22,19-04-2016 00:00,11-05-2016 00:00,6
Guangzhou,Shenzhen,1,1,18,46.8502718,6,12-08-2019 00:00,18-08-2019 00:00,0
Shenzhen,Ningbo,2,1,18,746.6292581,4,18-08-2019 00:00,22-08-2019 00:00,6
Ningbo,Shanghai,1,1,18,134.246,4,28-08-2019 00:00,01-09-2019 00:00,6
Shanghai,Busan,2,1,18,481.9350185,7,07-09-2019 00:00,14-09-2019 00:00,6
Busan,Wilmington,36,1,18,10098.33221,40,20-09-2019 00:00,30-10-2019 00:00,6
Wilmington,Savannah,3,1,18,628.8036587,4,05-11-2019 00:00,09-11-2019 00:00,6
Guangzhou,Shenzhen,1,2,18,46.8502718,3,07-03-2017 00:00,10-03-2017 00:00,0
Shenzhen,Shanghai,3,2,18,872.8668682,8,10-03-2017 00:00,18-03-2017 00:00,6
Shanghai,Busan,2,2,18,481.9350185,3,24-03-2017 00:00,27-03-2017 00:00,6
Busan,Wilmington,36,2,18,10098.33221,37,02-04-2017 00:00,09-05-2017 00:00,6
Wilmington,Savannah,3,2,18,628.8036587,4,15-05-2017 00:00,19-05-2017 00:00,6
Guangzhou,Shenzhen,1,1,19,46.8502718,3,16-12-2019 00:00,19-12-2019 00:00,0
Shenzhen,Ningbo,2,1,19,746.6292581,4,19-12-2019 00:00,23-12-2019 00:00,6
Ningbo,Shanghai,1,1,19,134.246,2,29-12-2019 00:00,31-12-2019 00:00,6
Shanghai,Busan,2,1,19,481.9350185,5,06-01-2020 00:00,11-01-2020 00:00,6
Busan,Wilmington,36,1,19,10098.33221,37,17-01-2020 00:00,23-02-2020 00:00,6
Wilmington,Savannah,3,1,19,628.8036587,6,29-02-2020 00:00,06-03-2020 00:00,6
Savannah,New York,5,1,19,688.4059453,7,12-03-2020 00:00,19-03-2020 00:00,6
Guangzhou,Shenzhen,1,2,19,46.8502718,3,17-09-2018 00:00,20-09-2018 00:00,0
Shenzhen,Shanghai,3,2,19,872.8668682,6,20-09-2018 00:00,26-09-2018 00:00,6
Shanghai,Busan,2,2,19,481.9350185,5,02-10-2018 00:00,07-10-2018 00:00,6
Busan,Wilmington,36,2,19,10098.33221,40,13-10-2018 00:00,22-11-2018 00:00,6
Wilmington,Savannah,3,2,19,628.8036587,6,28-11-2018 00:00,04-12-2018 00:00,6
Savannah,New York,5,2,19,688.4059453,7,10-12-2018 00:00,17-12-2018 00:00,6
Guangzhou,Shenzhen,1,1,20,46.8502718,3,18-10-2015 00:00,21-10-2015 00:00,0
Shenzhen,Ningbo,2,1,20,746.6292581,7,21-10-2015 00:00,28-10-2015 00:00,6
Ningbo,Shanghai,1,1,20,134.246,5,03-11-2015 00:00,08-11-2015 00:00,6
Shanghai,Busan,2,1,20,481.9350185,5,14-11-2015 00:00,19-11-2015 00:00,6
Busan,Yokohama,2,1,20,644.2606097,7,25-11-2015 00:00,02-12-2015 00:00,6
Yokohama,Seattle,15,1,20,4247.728669,20,08-12-2015 00:00,28-12-2015 00:00,6
Guangzhou,Shenzhen,1,2,20,46.8502718,4,04-07-2015 00:00,08-07-2015 00:00,0
Shenzhen,Shanghai,3,2,20,872.8668682,7,08-07-2015 00:00,15-07-2015 00:00,6
Shanghai,Busan,2,2,20,481.9350185,5,21-07-2015 00:00,26-07-2015 00:00,6
Busan,Yokohama,2,2,20,644.2606097,3,01-08-2015 00:00,04-08-2015 00:00,6
Yokohama,Seattle,15,2,20,4247.728669,20,10-08-2015 00:00,30-08-2015 00:00,6
Shenzhen,Ningbo,2,1,21,746.6292581,5,09-01-2019 00:00,14-01-2019 00:00,6
Ningbo,Shanghai,1,1,21,134.246,3,20-01-2019 00:00,23-01-2019 00:00,6
Shanghai,Busan,2,1,21,481.9350185,4,29-01-2019 00:00,02-02-2019 00:00,6
Busan,Long Beach,20,1,21,5254.9634,22,08-02-2019 00:00,02-03-2019 00:00,6
Shenzhen,Shanghai,3,2,21,872.8668682,7,13-07-2016 00:00,20-07-2016 00:00,6
Shanghai,Busan,2,2,21,481.9350185,3,26-07-2016 00:00,29-07-2016 00:00,6
Busan,Long Beach,20,2,21,5254.9634,22,04-08-2016 00:00,26-08-2016 00:00,6
Shenzhen,Ningbo,2,1,22,746.6292581,6,20-08-2018 00:00,26-08-2018 00:00,6
Ningbo,Shanghai,1,1,22,134.246,6,01-09-2018 00:00,07-09-2018 00:00,6
Shanghai,Busan,2,1,22,481.9350185,5,13-09-2018 00:00,18-09-2018 00:00,6
Busan,Los Angeles,20,1,22,5254.901206,22,24-09-2018 00:00,16-10-2018 00:00,6
Shenzhen,Shanghai,3,2,22,872.8668682,7,18-08-2018 00:00,25-08-2018 00:00,6
Shanghai,Busan,2,2,22,481.9350185,6,31-08-2018 00:00,06-09-2018 00:00,6
Busan,Los Angeles,20,2,22,5254.901206,21,12-09-2018 00:00,03-10-2018 00:00,6
Shenzhen,Ningbo,2,1,23,746.6292581,3,29-01-2016 00:00,01-02-2016 00:00,6
Ningbo,Shanghai,1,1,23,134.246,6,07-02-2016 00:00,13-02-2016 00:00,6
Shanghai,Busan,2,1,23,481.9350185,3,19-02-2016 00:00,22-02-2016 00:00,6
Busan,Wilmington,36,1,23,10098.33221,39,28-02-2016 00:00,07-04-2016 00:00,6
Wilmington,Savannah,3,1,23,628.8036587,7,13-04-2016 00:00,20-04-2016 00:00,6
Shenzhen,Shanghai,3,2,23,872.8668682,8,06-01-2015 00:00,14-01-2015 00:00,6
Shanghai,Busan,2,2,23,481.9350185,7,20-01-2015 00:00,27-01-2015 00:00,6
Busan,Wilmington,36,2,23,10098.33221,39,02-02-2015 00:00,13-03-2015 00:00,6
Wilmington,Savannah,3,2,23,628.8036587,5,19-03-2015 00:00,24-03-2015 00:00,6
Shenzhen,Ningbo,2,1,24,746.6292581,5,18-07-2019 00:00,23-07-2019 00:00,6
Ningbo,Shanghai,1,1,24,134.246,5,29-07-2019 00:00,03-08-2019 00:00,6
Shanghai,Busan,2,1,24,481.9350185,7,09-08-2019 00:00,16-08-2019 00:00,6
Busan,Wilmington,36,1,24,10098.33221,37,22-08-2019 00:00,28-09-2019 00:00,6
Wilmington,Savannah,3,1,24,628.8036587,5,04-10-2019 00:00,09-10-2019 00:00,6
Savannah,New York,5,1,24,688.4059453,6,15-10-2019 00:00,21-10-2019 00:00,6
Shenzhen,Shanghai,3,2,24,872.8668682,8,02-07-2018 00:00,10-07-2018 00:00,6
Shanghai,Busan,2,2,24,481.9350185,7,16-07-2018 00:00,23-07-2018 00:00,6
Busan,Wilmington,36,2,24,10098.33221,41,29-07-2018 00:00,08-09-2018 00:00,6
Wilmington,Savannah,3,2,24,628.8036587,5,14-09-2018 00:00,19-09-2018 00:00,6
Savannah,New York,5,2,24,688.4059453,7,25-09-2018 00:00,02-10-2018 00:00,6
Shenzhen,Ningbo,2,1,25,746.6292581,4,14-10-2018 00:00,18-10-2018 00:00,6
Ningbo,Shanghai,1,1,25,134.246,3,24-10-2018 00:00,27-10-2018 00:00,6
Shanghai,Busan,2,1,25,481.9350185,6,02-11-2018 00:00,08-11-2018 00:00,6
Busan,Yokohama,2,1,25,644.2606097,5,14-11-2018 00:00,19-11-2018 00:00,6
Yokohama,Seattle,15,1,25,4247.728669,20,25-11-2018 00:00,15-12-2018 00:00,6
Shenzhen,Shanghai,3,2,25,872.8668682,5,17-06-2015 00:00,22-06-2015 00:00,6
Shanghai,Busan,2,2,25,481.9350185,7,28-06-2015 00:00,05-07-2015 00:00,6
Busan,Yokohama,2,2,25,644.2606097,4,11-07-2015 00:00,15-07-2015 00:00,6
Yokohama,Seattle,15,2,25,4247.728669,16,21-07-2015 00:00,06-08-2015 00:00,6
Seattle,Yokohama,15,1,26,4247.728669,19,20-12-2017 00:00,08-01-2018 00:00,5
Yokohama,Busan,2,1,26,644.2606097,4,13-01-2018 00:00,17-01-2018 00:00,6
Busan,Shanghai,2,1,26,481.9350185,5,23-01-2018 00:00,28-01-2018 00:00,6
Shanghai,Shenzhen,3,1,26,872.8668682,5,03-02-2018 00:00,08-02-2018 00:00,6
Seattle,Yokohama,15,2,26,4247.728669,20,18-08-2016 00:00,07-09-2016 00:00,5
Yokohama,Busan,2,2,26,644.2606097,6,12-09-2016 00:00,18-09-2016 00:00,6
Busan,Shanghai,2,2,26,481.9350185,3,24-09-2016 00:00,27-09-2016 00:00,6
Shanghai,Ningbo,1,2,26,134.246,6,03-10-2016 00:00,09-10-2016 00:00,6
Ningbo,Shenzhen,2,2,26,746.6292581,7,15-10-2016 00:00,22-10-2016 00:00,6
New York,Savannah,5,1,27,688.4059453,9,06-08-2019 00:00,15-08-2019 00:00,4
Savannah,Wilmington,3,1,27,628.8036587,4,19-08-2019 00:00,23-08-2019 00:00,6
Wilmington,Busan,36,1,27,10098.33221,37,29-08-2019 00:00,05-10-2019 00:00,6
Busan,Shanghai,2,1,27,481.9350185,3,11-10-2019 00:00,14-10-2019 00:00,6
Shanghai,Shenzhen,3,1,27,872.8668682,7,20-10-2019 00:00,27-10-2019 00:00,6
New York,Savannah,5,2,27,688.4059453,9,09-04-2015 00:00,18-04-2015 00:00,4
Savannah,Wilmington,3,2,27,628.8036587,8,22-04-2015 00:00,30-04-2015 00:00,6
Wilmington,Busan,36,2,27,10098.33221,41,06-05-2015 00:00,16-06-2015 00:00,6
Busan,Shanghai,2,2,27,481.9350185,6,22-06-2015 00:00,28-06-2015 00:00,6
Shanghai,Ningbo,1,2,27,134.246,3,04-07-2015 00:00,07-07-2015 00:00,6
Ningbo,Shenzhen,2,2,27,746.6292581,5,13-07-2015 00:00,18-07-2015 00:00,6
Savannah,Wilmington,3,1,28,628.8036587,6,27-04-2018 00:00,03-05-2018 00:00,6
Wilmington,Busan,36,1,28,10098.33221,39,09-05-2018 00:00,17-06-2018 00:00,6
Busan,Shanghai,2,1,28,481.9350185,5,23-06-2018 00:00,28-06-2018 00:00,6
Shanghai,Shenzhen,3,1,28,872.8668682,6,04-07-2018 00:00,10-07-2018 00:00,6
Savannah,Wilmington,3,2,28,628.8036587,4,09-05-2015 00:00,13-05-2015 00:00,6
Wilmington,Busan,36,2,28,10098.33221,39,19-05-2015 00:00,27-06-2015 00:00,6
Busan,Shanghai,2,2,28,481.9350185,3,03-07-2015 00:00,06-07-2015 00:00,6
Shanghai,Ningbo,1,2,28,134.246,5,12-07-2015 00:00,17-07-2015 00:00,6
Ningbo,Shenzhen,2,2,28,746.6292581,4,23-07-2015 00:00,27-07-2015 00:00,6
Los Angeles,Busan,20,1,29,5254.901206,24,16-10-2019 00:00,09-11-2019 00:00,3
Busan,Shanghai,2,1,29,481.9350185,6,12-11-2019 00:00,18-11-2019 00:00,6
Shanghai,Shenzhen,3,1,29,872.8668682,7,24-11-2019 00:00,01-12-2019 00:00,6
Los Angeles,Busan,20,2,29,5254.901206,24,03-11-2019 00:00,27-11-2019 00:00,3
Busan,Shanghai,2,2,29,481.9350185,5,30-11-2019 00:00,05-12-2019 00:00,6
Shanghai,Ningbo,1,2,29,134.246,6,11-12-2019 00:00,17-12-2019 00:00,6
Ningbo,Shenzhen,2,2,29,746.6292581,4,23-12-2019 00:00,27-12-2019 00:00,6
Long Beach,Busan,20,1,30,5254.9634,22,20-04-2015 00:00,12-05-2015 00:00,2
Busan,Shanghai,2,1,30,481.9350185,5,14-05-2015 00:00,19-05-2015 00:00,6
Shanghai,Shenzhen,3,1,30,872.8668682,5,25-05-2015 00:00,30-05-2015 00:00,6
Long Beach,Busan,20,2,30,5254.9634,21,07-10-2018 00:00,28-10-2018 00:00,2
Busan,Shanghai,2,2,30,481.9350185,7,30-10-2018 00:00,06-11-2018 00:00,6
Shanghai,Ningbo,1,2,30,134.246,6,12-11-2018 00:00,18-11-2018 00:00,6
Ningbo,Shenzhen,2,2,30,746.6292581,6,24-11-2018 00:00,30-11-2018 00:00,6
Seattle,Yokohama,15,1,31,4247.728669,18,24-10-2017 00:00,11-11-2017 00:00,5
Yokohama,Busan,2,1,31,644.2606097,6,16-11-2017 00:00,22-11-2017 00:00,6
Busan,Shanghai,2,1,31,481.9350185,5,28-11-2017 00:00,03-12-2017 00:00,6
Shanghai,Shenzhen,3,1,31,872.8668682,5,09-12-2017 00:00,14-12-2017 00:00,6
Shenzhen,Guangzhou,1,1,31,46.8502718,2,20-12-2017 00:00,22-12-2017 00:00,6
Seattle,Yokohama,15,2,31,4247.728669,16,06-12-2015 00:00,22-12-2015 00:00,5
Yokohama,Busan,2,2,31,644.2606097,7,27-12-2015 00:00,03-01-2016 00:00,6
Busan,Shanghai,2,2,31,481.9350185,5,09-01-2016 00:00,14-01-2016 00:00,6
Shanghai,Ningbo,1,2,31,134.246,4,20-01-2016 00:00,24-01-2016 00:00,6
Ningbo,Shenzhen,2,2,31,746.6292581,5,30-01-2016 00:00,04-02-2016 00:00,6
Shenzhen,Guangzhou,1,2,31,46.8502718,4,10-02-2016 00:00,14-02-2016 00:00,6
New York,Savannah,5,1,32,688.4059453,7,22-10-2016 00:00,29-10-2016 00:00,4
Savannah,Wilmington,3,1,32,628.8036587,6,02-11-2016 00:00,08-11-2016 00:00,6
Wilmington,Busan,36,1,32,10098.33221,39,14-11-2016 00:00,23-12-2016 00:00,6
Busan,Shanghai,2,1,32,481.9350185,5,29-12-2016 00:00,03-01-2017 00:00,6
Shanghai,Shenzhen,3,1,32,872.8668682,7,09-01-2017 00:00,16-01-2017 00:00,6
